DATE,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,VOLUME,DAILY_RETURN,MA_7,52W_HIGH,52W_LOW,VOLATILITY
2025-04-29,AADHARHFC,EQ,474.7,482.0,471.25,476.55,357668,0.003897198230461392,,487.4,448.0,0.018754482235942747
2025-04-30,AADHARHFC,EQ,469.0,476.85,464.35,467.05,503449,-0.004157782515991447,470.0285714285714,487.4,448.0,0.018754482235942747
2025-04-22,AAKASH,EQ,8.8,8.94,7.66,8.67,153827,-0.014772727272727361,,8.98,7.66,0.014333440575861183
2025-04-23,AAKASH,EQ,8.74,8.82,8.62,8.66,65696,-0.009153318077803212,,8.98,7.66,0.014333440575861183
2025-04-24,AAKASH,EQ,8.98,8.98,8.66,8.74,107485,-0.02672605790645882,,8.98,7.66,0.014333440575861183
2025-04-25,AAKASH,EQ,8.74,8.78,8.18,8.4,116512,-0.0389016018306636,,8.98,7.66,0.014333440575861183
2025-04-28,AAKASH,EQ,8.4,8.73,8.05,8.37,91050,-0.0035714285714287066,,8.98,7.66,0.014333440575861183
2025-04-29,AAKASH,EQ,8.59,8.65,8.16,8.24,103683,-0.04074505238649589,,8.98,7.66,0.014333440575861183
2025-04-30,AAKASH,EQ,8.4,8.57,8.2,8.25,61745,-0.017857142857142898,8.475714285714286,8.98,7.66,0.014333440575861183
2025-04-22,AAREYDRUGS,EQ,57.98,59.8,56.41,57.91,54331,-0.0012073128665056965,,60.0,52.35,0.01954849770136547
2025-04-23,AAREYDRUGS,EQ,58.01,60.0,57.02,58.82,50622,0.01396310980865372,,60.0,52.35,0.01954849770136547
2025-04-24,AAREYDRUGS,EQ,58.03,60.0,57.07,58.62,35693,0.010167154919868969,,60.0,52.35,0.01954849770136547
2025-04-25,AAREYDRUGS,EQ,57.51,58.43,55.68,55.87,48400,-0.02851677969048862,,60.0,52.35,0.01954849770136547
2025-04-28,AAREYDRUGS,EQ,56.35,57.8,53.38,54.7,38951,-0.02928127772848267,,60.0,52.35,0.01954849770136547
2025-04-29,AAREYDRUGS,EQ,55.25,56.0,53.0,53.59,38554,-0.03004524886877822,,60.0,52.35,0.01954849770136547
2025-04-30,AAREYDRUGS,EQ,53.59,55.43,52.35,53.65,65188,0.0011196118678857094,56.16571428571428,60.0,52.35,0.01954849770136547
2025-04-22,AARON,EQ,346.35,351.0,346.0,349.7,3766,0.00967229680958558,,357.0,335.0,0.009784693806221885
2025-04-23,AARON,EQ,357.0,357.0,346.0,353.2,3272,-0.010644257703081264,,357.0,335.0,0.009784693806221885
2025-04-24,AARON,EQ,350.2,351.7,345.1,346.8,4815,-0.009708737864077605,,357.0,335.0,0.009784693806221885
2025-04-25,AARON,EQ,346.05,355.0,339.15,343.3,5925,-0.007946828492992343,,357.0,335.0,0.009784693806221885
2025-04-28,AARON,EQ,335.3,347.75,335.0,336.35,3520,0.0031315240083507646,,357.0,335.0,0.009784693806221885
2025-04-29,AARON,EQ,343.75,356.05,338.75,342.9,5133,-0.002472727272727339,,357.0,335.0,0.009784693806221885
2025-04-30,AARON,EQ,346.0,355.1,338.8,350.85,5172,0.014017341040462494,346.15714285714284,357.0,335.0,0.009784693806221885
2025-04-22,AARTECH,EQ,63.63,63.91,60.92,61.96,104647,-0.026245481691026272,,63.91,55.21,0.03162861105189881
2025-04-23,AARTECH,EQ,62.04,62.31,60.84,62.01,17826,-0.0004835589941973104,,63.91,55.21,0.03162861105189881
2025-04-24,AARTECH,EQ,62.01,62.79,59.0,59.52,37883,-0.04015481373971932,,63.91,55.21,0.03162861105189881
2025-04-25,AARTECH,EQ,61.73,61.73,56.95,57.36,33767,-0.07079215940385546,,63.91,55.21,0.03162861105189881
2025-04-28,AARTECH,EQ,57.01,58.75,55.21,56.06,30205,-0.016663743202946776,,63.91,55.21,0.03162861105189881
2025-04-29,AARTECH,EQ,56.0,58.0,56.0,57.68,13300,0.029999999999999995,,63.91,55.21,0.03162861105189881
2025-04-30,AARTECH,EQ,57.68,57.75,56.26,57.07,8703,-0.010575589459084595,58.80857142857143,63.91,55.21,0.03162861105189881
2025-04-22,AARTIDRUGS,EQ,364.0,364.35,358.05,359.4,129047,-0.0126373626373627,,373.65,345.25,0.020025384623358383
2025-04-23,AARTIDRUGS,EQ,361.4,365.95,358.6,364.6,156000,0.008854454897620491,,373.65,345.25,0.020025384623358383
2025-04-24,AARTIDRUGS,EQ,364.7,373.65,359.45,365.85,235942,0.003153276665752767,,373.65,345.25,0.020025384623358383
2025-04-25,AARTIDRUGS,EQ,368.6,368.6,347.1,350.8,151985,-0.04829083016820404,,373.65,345.25,0.020025384623358383
2025-04-28,AARTIDRUGS,EQ,350.0,360.8,346.6,351.65,240583,0.004714285714285649,,373.65,345.25,0.020025384623358383
2025-04-29,AARTIDRUGS,EQ,354.3,360.0,348.8,350.8,124691,-0.009878633926051369,,373.65,345.25,0.020025384623358383
2025-04-30,AARTIDRUGS,EQ,357.6,361.9,345.25,349.0,244406,-0.024049217002237198,356.0142857142857,373.65,345.25,0.020025384623358383
2025-04-22,AARTIIND,EQ,427.0,444.8,421.95,434.15,5603403,0.016744730679156855,,448.95,418.6,0.01914206680154842
2025-04-23,AARTIIND,EQ,436.35,446.0,428.0,432.85,1894189,-0.00802108399220809,,448.95,418.6,0.01914206680154842
2025-04-24,AARTIIND,EQ,435.0,448.95,433.8,442.35,5041220,0.016896551724137985,,448.95,418.6,0.01914206680154842
2025-04-25,AARTIIND,EQ,443.4,448.0,420.35,428.95,2779356,-0.03258908434821829,,448.95,418.6,0.01914206680154842
2025-04-28,AARTIIND,EQ,428.95,435.0,423.5,433.65,1034923,0.010956987993938662,,448.95,418.6,0.01914206680154842
2025-04-29,AARTIIND,EQ,433.9,438.35,428.0,430.8,790637,-0.007144503341783743,,448.95,418.6,0.01914206680154842
2025-04-30,AARTIIND,EQ,430.0,430.65,418.6,421.25,724695,-0.020348837209302327,432.0,448.95,418.6,0.01914206680154842
2025-04-22,AARTIPHARM,EQ,710.0,718.0,685.4,711.95,675970,0.002746478873239501,,767.8,685.4,0.025610446335657528
2025-04-23,AARTIPHARM,EQ,715.9,744.0,706.1,737.0,460224,0.0294733901382875,,767.8,685.4,0.025610446335657528
2025-04-24,AARTIPHARM,EQ,733.0,767.8,732.25,753.9,548772,0.028512960436562044,,767.8,685.4,0.025610446335657528
2025-04-25,AARTIPHARM,EQ,753.9,764.4,718.0,735.15,289105,-0.02487067250298448,,767.8,685.4,0.025610446335657528
2025-04-28,AARTIPHARM,EQ,727.2,744.0,725.5,728.95,232753,0.0024064906490649063,,767.8,685.4,0.025610446335657528
2025-04-29,AARTIPHARM,EQ,728.95,748.95,725.55,742.15,228190,0.018108237876397464,,767.8,685.4,0.025610446335657528
2025-04-30,AARTIPHARM,EQ,740.55,747.25,710.0,713.35,195788,-0.036729457835392526,731.7785714285714,767.8,685.4,0.025610446335657528
2025-04-22,AARTISURF,EQ,453.55,467.7,450.7,461.35,11448,0.01719766288171097,,468.0,435.1,0.02224264321301058
2025-04-23,AARTISURF,EQ,461.65,467.25,450.0,456.35,8369,-0.011480558864940874,,468.0,435.1,0.02224264321301058
2025-04-24,AARTISURF,EQ,450.25,468.0,450.25,459.55,7886,0.020655191560244333,,468.0,435.1,0.02224264321301058
2025-04-25,AARTISURF,EQ,465.0,465.0,438.85,445.35,7788,-0.042258064516128985,,468.0,435.1,0.02224264321301058
2025-04-28,AARTISURF,EQ,440.0,449.9,437.0,443.35,4225,0.007613636363636415,,468.0,435.1,0.02224264321301058
2025-04-29,AARTISURF,EQ,448.15,451.95,445.0,446.3,3124,-0.004128082115363084,,468.0,435.1,0.02224264321301058
2025-04-30,AARTISURF,EQ,450.0,450.0,435.1,440.95,3191,-0.020111111111111135,450.4571428571429,468.0,435.1,0.02224264321301058
2025-04-22,AARVI,EQ,106.41,114.39,106.21,112.12,16363,0.05366037026595252,,115.94,104.01,0.027591023126893002
2025-04-23,AARVI,EQ,115.94,115.94,111.06,112.26,8619,-0.03174055545972048,,115.94,104.01,0.027591023126893002
2025-04-24,AARVI,EQ,112.26,113.95,112.23,112.99,1591,0.0065027614466416335,,115.94,104.01,0.027591023126893002
2025-04-25,AARVI,EQ,112.99,113.0,107.0,111.08,10458,-0.01690415080980615,,115.94,104.01,0.027591023126893002
2025-04-28,AARVI,EQ,109.1,110.95,107.01,108.05,3968,-0.009624197983501349,,115.94,104.01,0.027591023126893002
2025-04-29,AARVI,EQ,110.23,110.28,108.51,108.53,1359,-0.015422298829719702,,115.94,104.01,0.027591023126893002
2025-04-30,AARVI,EQ,107.98,115.9,104.01,106.89,4145,-0.010094461937395846,110.27428571428571,115.94,104.01,0.027591023126893002
2025-04-22,AAVAS,EQ,2166.4,2234.0,2147.6,2220.5,282678,0.024972304283604092,,2234.0,1922.1,0.023650174892617275
2025-04-23,AAVAS,EQ,2220.5,2224.1,2080.0,2119.4,599926,-0.04553028597162797,,2234.0,1922.1,0.023650174892617275
2025-04-24,AAVAS,EQ,2108.0,2168.0,2087.3,2096.2,169622,-0.005597722960151889,,2234.0,1922.1,0.023650174892617275
2025-04-25,AAVAS,EQ,2110.0,2150.0,1984.0,2038.1,458897,-0.0340758293838863,,2234.0,1922.1,0.023650174892617275
2025-04-28,AAVAS,EQ,2047.9,2060.2,1981.6,1991.5,145769,-0.027540407246447622,,2234.0,1922.1,0.023650174892617275
2025-04-29,AAVAS,EQ,1997.1,2087.0,1986.0,1991.2,274564,-0.002954283711381435,,2234.0,1922.1,0.023650174892617275
2025-04-30,AAVAS,EQ,1991.2,1996.6,1922.1,1942.9,195275,-0.024256729610285233,2057.1142857142854,2234.0,1922.1,0.023650174892617275
2025-04-22,ABB,EQ,5649.0,5704.0,5591.5,5682.5,325345,0.005930253142149053,,5792.0,5385.0,0.014426432961010026
2025-04-23,ABB,EQ,5715.0,5792.0,5609.0,5713.0,376059,-0.00034995625546806647,,5792.0,5385.0,0.014426432961010026
2025-04-24,ABB,EQ,5720.0,5733.0,5621.5,5688.5,374809,-0.005506993006993007,,5792.0,5385.0,0.014426432961010026
2025-04-25,ABB,EQ,5698.0,5708.5,5385.0,5499.0,638225,-0.03492453492453493,,5792.0,5385.0,0.014426432961010026
2025-04-28,ABB,EQ,5499.0,5558.5,5459.0,5536.0,205197,0.006728496090198217,,5792.0,5385.0,0.014426432961010026
2025-04-29,ABB,EQ,5582.0,5625.0,5560.0,5583.5,224766,0.0002687208885704049,,5792.0,5385.0,0.014426432961010026
2025-04-30,ABB,EQ,5590.0,5604.0,5469.0,5522.5,316444,-0.012075134168157423,5603.571428571428,5792.0,5385.0,0.014426432961010026
2025-04-22,ABBOTINDIA,EQ,30915.0,31140.0,30640.0,31015.0,4188,0.0032346757237586934,,31400.0,29430.0,0.01369426183760551
2025-04-23,ABBOTINDIA,EQ,31150.0,31400.0,30370.0,30470.0,7426,-0.021829855537720707,,31400.0,29430.0,0.01369426183760551
2025-04-24,ABBOTINDIA,EQ,30680.0,30680.0,30010.0,30060.0,6809,-0.020208604954367666,,31400.0,29430.0,0.01369426183760551
2025-04-25,ABBOTINDIA,EQ,30060.0,30295.0,29430.0,29705.0,5704,-0.011809713905522289,,31400.0,29430.0,0.01369426183760551
